CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
aaa350e3-1339-4424-8adb-ef78f83e944a,8910300000001034418,DATA,2019-09-20T16:21:04.000Z,2019-09-20T18:28:31.000Z,30635,,,,UKR,Ukraine,255,06,7,260060169232931
3eed3d25-94ca-4804-989b-a3a48590969f,8910300000001034223,DATA,2019-09-20T15:44:28.000Z,2019-09-20T18:28:35.000Z,392,,,,USA,United States,310,150,7,260060169232736
c8e92860-bc34-4fad-b152-bb581db1b5f1,8910300000001034343,DATA,2019-09-20T17:38:22.000Z,2019-09-20T18:28:37.000Z,42330136,,,,DEU,Germany,262,07,7,260060169232856
