CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
6150ee60-bd01-4bb8-9a95-54f5d2f1ce1c,8910300000001034223,DATA,2019-09-08T20:46:59.000Z,2019-09-08T21:39:54.000Z,3494516,,,,USA,United States,310,150,7,260060169232736
87eb69bb-9297-41da-8fc8-ea09aa76b5c5,8910300000001034223,DATA,2019-09-08T20:46:51.000Z,2019-09-08T21:39:54.000Z,55133,,,,USA,United States,310,150,7,260060169232736
211c0a73-6d4c-4b9c-a3ec-1873bc87dd18,8910300000001034223,DATA,2019-09-08T20:16:59.000Z,2019-09-08T21:42:19.000Z,35609,,,,USA,United States,310,150,7,260060169232736
