CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
ea90a818-be37-4450-a007-7350ba99f18a,8910300000001034200,DATA,2019-07-23T00:42:08.000Z,2019-07-23T02:34:27.000Z,76565631,,,,USA,United States,310,150,7,260060169232713
322da417-0be3-4938-a39f-c3390250e5e9,8910300000001034200,DATA,2019-07-23T00:34:21.000Z,2019-07-23T02:34:27.000Z,29416,,,,USA,United States,310,150,7,260060169232713
e6e0985d-1d8a-422d-ae70-8fa760680f56,8910300000001034200,DATA,2019-07-23T02:34:59.000Z,2019-07-23T02:35:05.000Z,0,,,,USA,United States,310,150,7,260060169232713
5cbe0ccc-3fdf-4e26-b4f4-666fc8636999,8910300000001034200,DATA,2019-07-23T02:35:07.000Z,2019-07-23T02:35:40.000Z,11744,,,,USA,United States,310,150,7,260060169232713
b09faea0-3a9d-4e67-92f7-f0e418fe9bac,8910300000001034200,DATA,2019-07-23T02:35:08.000Z,2019-07-23T02:35:41.000Z,354898,,,,USA,United States,310,150,7,260060169232713
b3731d71-03c3-4174-b3e3-0ae457b62ee6,8910300000001034200,DATA,2019-07-23T02:37:29.000Z,2019-07-23T02:37:31.000Z,0,,,,USA,United States,310,150,7,260060169232713
a22f1af5-da00-4d59-8bf1-4bcac74c9c18,8910300000001034200,DATA,2019-07-23T02:37:33.000Z,2019-07-23T02:39:11.000Z,14575,,,,USA,United States,310,150,7,260060169232713
37f4dd71-f9d3-4ba9-919a-558f6c0f8639,8910300000001034200,DATA,2019-07-23T02:37:34.000Z,2019-07-23T02:39:11.000Z,121449,,,,USA,United States,310,150,7,260060169232713
9f415bad-29c4-4a17-a927-0c9d736e54dd,8910300000001034193,DATA,2019-07-23T02:12:18.000Z,2019-07-23T02:47:56.000Z,0,,,,USA,United States,310,150,7,260060169232706
7825a57a-f854-4951-a0dd-be09aed541fe,8910300000001034193,DATA,2019-07-23T02:47:58.000Z,2019-07-23T02:48:45.000Z,0,,,,USA,United States,310,150,7,260060169232706
