CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
37702b99-1049-4f4e-ad1f-21fea1771917,8910300000001034207,DATA,2019-09-11T17:56:02.000Z,2019-09-11T18:05:17.000Z,0,,,,USA,United States,310,150,7,260060169232720
4b17fa3c-8570-402a-a78b-1b1421296558,8910300000001034207,DATA,2019-09-11T18:05:17.000Z,2019-09-11T18:07:07.000Z,0,,,,USA,United States,310,150,7,260060169232720
4d1cd27c-4123-49ab-8cc9-6228176ce76f,8910300000001034228,DATA,2019-09-11T17:25:48.000Z,2019-09-11T18:10:41.000Z,34177,,,,USA,United States,310,150,7,260060169232741
