CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
1f8877b3-6dd1-4f0c-9ae6-fb0753532c49,8910300000001034217,DATA,2019-07-08T23:18:07.000Z,2019-07-09T01:05:17.000Z,50609776,,,,USA,United States,310,150,7,260060169232730
634cae34-a989-4c98-8f27-7628b0444587,8910300000001034217,DATA,2019-07-09T00:57:30.000Z,2019-07-09T01:05:17.000Z,27726,,,,USA,United States,310,150,7,260060169232730
411acd6a-3bdb-4731-93ac-388fc15079ca,8910300000001034193,DATA,2019-07-09T00:21:38.000Z,2019-07-09T01:06:50.000Z,0,,,,USA,United States,310,150,7,260060169232706
