CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
b43d91d2-8e44-46d9-8f76-92d496af71bb,8910300000001034418,DATA,2019-09-19T11:59:12.000Z,2019-09-19T12:05:02.000Z,183835,,,,UKR,Ukraine,255,01,7,260060169232931
5e1c3ce1-eb38-4a11-95c0-895e4a3eaa03,8910300000001034193,DATA,2019-09-19T07:10:52.000Z,2019-09-19T12:20:15.000Z,0,,,,DEU,Germany,262,02,7,260060169232706
4d4f2a94-4892-470d-a06a-eee39b87cc20,8910300000001034418,DATA,2019-09-19T12:06:10.000Z,2019-09-19T12:24:01.000Z,609432,,,,UKR,Ukraine,255,01,7,260060169232931
