CDR_ID,ICCID,TYPE,CONNECT_TIME,CLOSE_TIME,DURATION,DIRECTION,CALLED_PARTY,CALLING_PARTY,COUNTRY_ISO3,COUNTRY_NAME,MCC,MNC,IMSI_ID,IMSI_NO
15df1c9c-70f0-47c0-a705-631ae66b9caa,8910300000001034200,DATA,2019-07-22T19:05:28.000Z,2019-07-22T19:06:38.000Z,0,,,,USA,United States,310,150,7,260060169232713
57576bbc-3057-410c-b595-fbec842a4fa8,8910300000001034200,DATA,2019-07-22T18:16:45.000Z,2019-07-22T19:06:46.000Z,0,,,,USA,United States,310,150,7,260060169232713
b0c15208-1334-4a58-a10b-34363240899f,8910300000001034200,DATA,2019-07-22T19:05:30.000Z,2019-07-22T19:06:48.000Z,4457,,,,USA,United States,310,150,7,260060169232713
e43a9746-3a25-422a-948a-ef8ce6ff131a,8910300000001034200,DATA,2019-07-22T19:06:48.000Z,2019-07-22T19:09:42.000Z,15623,,,,USA,United States,310,150,7,260060169232713
0e903021-393f-45c2-af5a-35bec3ed6125,8910300000001034200,DATA,2019-07-22T19:09:40.000Z,2019-07-22T19:10:27.000Z,0,,,,USA,United States,310,150,7,260060169232713
14fd51d4-4c9d-4b76-80fe-02fe67223d4b,8910300000001034200,DATA,2019-07-22T19:09:42.000Z,2019-07-22T19:10:29.000Z,0,,,,USA,United States,310,150,7,260060169232713
b7afdd1e-580a-4323-8784-8e5d20bf1976,8910300000001034200,DATA,2019-07-22T19:10:28.000Z,2019-07-22T19:10:38.000Z,0,,,,USA,United States,310,150,7,260060169232713
2e667376-c970-4e81-a4aa-5a2741801b53,8910300000001034200,DATA,2019-07-22T19:10:29.000Z,2019-07-22T19:10:38.000Z,0,,,,USA,United States,310,150,7,260060169232713
54182f3e-0237-44c7-8c36-d220206d75cd,8910300000001034200,DATA,2019-07-22T19:06:47.000Z,2019-07-22T19:10:58.000Z,0,,,,USA,United States,310,150,7,260060169232713
bb73b7ac-2083-4295-ba1a-c75a842589fe,8910300000001034200,DATA,2019-07-22T18:37:44.000Z,2019-07-22T19:10:59.000Z,159572,,,,USA,United States,310,150,7,260060169232713
3511dd9d-20e1-4c32-9ee8-34f145930926,8910300000001034200,DATA,2019-07-22T19:10:58.000Z,2019-07-22T19:14:33.000Z,0,,,,USA,United States,310,150,7,260060169232713
